title,url,image_url,price,image_hash,company
"Kindle, now with a built-in front light - Black",https://www.amazon.ca/All-new-Kindle-built-front-light/dp/B07FQ4XCR1?dchild=1,https://m.media-amazon.com/images/I/61Ww4abGclL._AC_UL320_.jpg,119.99,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",Amazon
"Duracell - CopperTop AAA Alkaline Batteries - long lasting, all-purpose Triple A battery for household and business - 16 count",https://www.amazon.ca/Duracell-CopperTop-Batteries-all-purpose-household/dp/B006CSQXLO?dchild=1,https://m.media-amazon.com/images/I/71JoAKVEFsL._AC_UL320_.jpg,16.49,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",Amazon
HP 65 Black Original Ink Cartridge (N9K02AN),https://www.amazon.ca/HP-Original-Cartridge-N9K02AN-140/dp/B01BYKUI9C?dchild=1,https://m.media-amazon.com/images/I/511pWMoV7QL._AC_UL320_.jpg,,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",Amazon
"TCL 50S425-CA 4K Ultra HD Smart LED Television (2019), 50""",https://www.amazon.ca/TCL-50S425-CA-Ultra-Smart-Television/dp/B07KG318MQ?dchild=1,https://m.media-amazon.com/images/I/71xkwNx-nfL._AC_UL320_.jpg,379.99,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",Amazon
"Fujifilm INSTAX Mini Instant Film Twin Pack, White (20 Exposures)",https://www.amazon.ca/Fujifilm-Instax-Twin-Pack-Exposures/dp/B00EB4ADQW?dchild=1,https://m.media-amazon.com/images/I/51vROAC-l+L._AC_UL320_.jpg,21.99,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",Amazon
Xbox One S 1TB Console - Xbox One S Edition,https://www.amazon.ca/Xbox-One-1TB-Console/dp/B089M5L82M?dchild=1,https://m.media-amazon.com/images/I/71XHuIVqJbL._AC_UL320_.jpg,379.99,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",Amazon
Kingston 240GB A400 SSD 2.5'' SATA 7MM 2.5-Inch SA400S37/240G,https://www.amazon.ca/Kingston-Digital-240GB-SA400S37-240G/dp/B01N5IB20Q?dchild=1,https://m.media-amazon.com/images/I/91RL+MhTWbL._AC_UL320_.jpg,35.99,"[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",Amazon
AmazonBasics AAA Rechargeable Batteries (12-Pack) Pre-charged - Battery Packaging May Vary,https://www.amazon.ca/AmazonBasics-AAA-Rechargeable-Batteries-12-Pack/dp/B007B9NXAC?dchild=1,https://m.media-amazon.com/images/I/61d64HzNKsL._AC_UL320_.jpg,19.13,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",Amazon
Google Chromecast Ultra,https://www.amazon.ca/GA3A00403A14-Google-Chromecast-Ultra/dp/B0157OY5EA?dchild=1,https://m.media-amazon.com/images/I/71KMhLejRNL._AC_UL320_.jpg,89.0,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",Amazon
"DR. J Professional HI-04 Mini Video Projector, 100"" Projector Screen Included &1080P Supported, Portable Outdoor Movie Projector",https://www.amazon.ca/DR-J-Projector-Projection-Compatible-activities/dp/B07174LM85?dchild=1,https://m.media-amazon.com/images/I/718A7339wbL._AC_UL320_.jpg,159.99,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",Amazon
"Gaming Headset for PC PS4, Stereo Surround Sound Gaming Headphones with Noise Cancelling Microphone Volume Control LED Lights for Xbox One Laptops Mac Smartphone (RED)",https://www.amazon.ca/Beexcellent-Headphones-Cancelling-Microphone-Smartphone/dp/B0777KYQS7?dchild=1,https://m.media-amazon.com/images/I/718HNiWU9LL._AC_UL320_.jpg,23.99,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Amazon
